id,shutdown_blame,shutdown_inconv,region,gender,age,educ,pid,income,weight
232,Pelosi and the Democrats in Congress,No,NA,Male,68,post-graduate degree,Republican,100 thousand or more,0.3238153
100262,Trump and the Republicans in Congress,No,South,Female,32,college degree,Republican,75 to under 100 thousand,1.2141777
100548,Pelosi and the Democrats in Congress,No,South,Male,79,some college,Republican,NA,0.403373
100628,Trump and the Republicans in Congress,Yes,West,Male,32,high school or less,Democrat,NA,3.5257896
100698,NA,No,West,Male,52,some college,Independent,NA,0.6616424
100732,Trump and the Republicans in Congress,No,West,Female,70,some college,Democrat,35 to under 50 thousand,0.6243418
100825,Pelosi and the Democrats in Congress,No,Northeast,Male,72,some college,Republican,100 thousand or more,0.4032539
100936,Trump and the Republicans in Congress,No,West,Male,94,high school or less,Democrat,NA,1.1017779
100948,Pelosi and the Democrats in Congress,No,West,Male,58,high school or less,Republican,20 to under 35 thousand,1.6899461
100953,Pelosi and the Democrats in Congress,No,West,Male,37,some college,Republican,100 thousand or more,0.4023923
101045,Trump and the Republicans in Congress,No,South,Male,37,college degree,Democrat,50 to under 75 thousand,1.1368517
101066,Trump and the Republicans in Congress,No,West,Female,49,college degree,Republican,75 to under 100 thousand,1.1542204
101075,Trump and the Republicans in Congress,No,West,Male,42,some college,Democrat,50 to under 75 thousand,1.283504
100147,NA,No,Midwest,Male,75,post-graduate degree,Democrat,75 to under 100 thousand,0.3763275
100303,NA,No,West,Male,28,some college,Independent,20 to under 35 thousand,1.1975557
100599,Pelosi and the Democrats in Congress,No,South,Male,66,some college,Republican,50 to under 75 thousand,0.489693
100397,Trump and the Republicans in Congress,No,Midwest,Male,18,high school or less,Republican,50 to under 75 thousand,3.3231334
100437,NA,No,Northeast,Female,42,post-graduate degree,Democrat,NA,0.9838003
100490,Pelosi and the Democrats in Congress,No,South,Male,64,some college,Republican,35 to under 50 thousand,0.7511086
100598,Pelosi and the Democrats in Congress,No,South,Male,65,high school or less,Republican,50 to under 75 thousand,0.5041847
100629,Pelosi and the Democrats in Congress,No,West,Male,56,college degree,Republican,100 thousand or more,0.5827173
100676,Trump and the Republicans in Congress,Yes,Midwest,Female,24,college degree,Democrat,50 to under 75 thousand,1.6584822
100681,Trump and the Republicans in Congress,No,Midwest,Male,40,some college,Democrat,100 thousand or more,1.1942516
100687,Pelosi and the Democrats in Congress,No,Midwest,Male,36,some college,Republican,100 thousand or more,1.195617
100692,Trump and the Republicans in Congress,Yes,West,Male,58,post-graduate degree,Democrat,100 thousand or more,0.6664375
100706,Trump and the Republicans in Congress,No,West,Male,25,high school or less,Republican,Under 20 thousand dollars,1.4968508
100727,Trump and the Republicans in Congress,Yes,West,Female,70,post-graduate degree,Democrat,50 to under 75 thousand,0.608637
100983,Trump and the Republicans in Congress,No,Northeast,Female,44,college degree,Democrat,75 to under 100 thousand,1.3099054
100055,Trump and the Republicans in Congress,No,Northeast,Male,70,college degree,Democrat,50 to under 75 thousand,0.4311519
100096,Trump and the Republicans in Congress,No,South,Male,21,some college,Democrat,100 thousand or more,1.1198453
100202,Pelosi and the Democrats in Congress,No,South,Male,48,high school or less,Republican,50 to under 75 thousand,1.2848086
100268,Trump and the Republicans in Congress,No,South,Female,74,college degree,Democrat,75 to under 100 thousand,0.514185
100530,NA,No,South,Female,32,post-graduate degree,Democrat,50 to under 75 thousand,1.1960479
100735,Trump and the Republicans in Congress,Yes,West,Male,54,some college,Democrat,100 thousand or more,0.8032309
101014,Trump and the Republicans in Congress,No,South,Female,53,post-graduate degree,Republican,75 to under 100 thousand,0.8729703
101076,Trump and the Republicans in Congress,Yes,West,Female,24,some college,Democrat,100 thousand or more,1.7332996
100103,Pelosi and the Democrats in Congress,No,South,Male,64,some college,Republican,Under 20 thousand dollars,0.7511086
100148,Pelosi and the Democrats in Congress,No,South,Female,51,post-graduate degree,Republican,50 to under 75 thousand,0.8729703
100284,Trump and the Republicans in Congress,Yes,West,Male,27,college degree,Democrat,35 to under 50 thousand,1.1851281
100473,NA,Yes,Midwest,Female,50,college degree,Democrat,75 to under 100 thousand,0.4067389
100509,Trump and the Republicans in Congress,No,South,Female,28,post-graduate degree,Democrat,75 to under 100 thousand,1.4624791
100596,Pelosi and the Democrats in Congress,No,South,Male,18,high school or less,Republican,100 thousand or more,1.3997188
100635,Trump and the Republicans in Congress,No,West,Male,60,some college,Democrat,100 thousand or more,0.9025586
100929,Pelosi and the Democrats in Congress,No,West,Male,18,high school or less,Republican,20 to under 35 thousand,1.4968508
100969,Pelosi and the Democrats in Congress,No,Northeast,Female,43,some college,Republican,100 thousand or more,1.4873229
100985,Trump and the Republicans in Congress,No,Midwest,Male,67,some college,Democrat,100 thousand or more,0.6643059
100999,Pelosi and the Democrats in Congress,No,South,Female,66,post-graduate degree,Republican,50 to under 75 thousand,0.569142
101071,Trump and the Republicans in Congress,No,West,Male,72,some college,Democrat,35 to under 50 thousand,0.4313647
101080,NA,No,West,Male,40,post-graduate degree,Republican,100 thousand or more,0.882698
100059,Trump and the Republicans in Congress,No,Midwest,Male,26,college degree,Independent,75 to under 100 thousand,1.1458635
100094,Trump and the Republicans in Congress,No,South,Female,31,some college,Democrat,20 to under 35 thousand,1.4894633
100178,Trump and the Republicans in Congress,No,South,Female,65,high school or less,Democrat,Under 20 thousand dollars,0.772886
100245,Trump and the Republicans in Congress,No,Midwest,Male,75,some college,NA,NA,0.4686483
100286,Trump and the Republicans in Congress,No,West,Female,65,high school or less,Democrat,100 thousand or more,0.947376
100379,Trump and the Republicans in Congress,No,Northeast,Male,25,college degree,Republican,35 to under 50 thousand,0.9859716
100453,Pelosi and the Democrats in Congress,No,South,Male,66,some college,Republican,50 to under 75 thousand,0.489693
100575,Pelosi and the Democrats in Congress,No,Midwest,Female,61,some college,Republican,75 to under 100 thousand,1.0404082
100641,Pelosi and the Democrats in Congress,No,Midwest,Male,43,college degree,Republican,75 to under 100 thousand,1.0517936
100973,Trump and the Republicans in Congress,No,South,Female,40,college degree,Democrat,75 to under 100 thousand,2.0516414
100986,Pelosi and the Democrats in Congress,Yes,South,Male,44,college degree,Independent,35 to under 50 thousand,0.9052953
100811,Trump and the Republicans in Congress,No,South,Male,46,some college,Democrat,50 to under 75 thousand,1.0279113
100002,Trump and the Republicans in Congress,No,Northeast,Male,34,high school or less,Republican,NA,4.1143989
100169,Trump and the Republicans in Congress,Yes,Northeast,Male,21,high school or less,Independent,NA,2.1910174
100224,Pelosi and the Democrats in Congress,No,Midwest,Male,71,high school or less,Independent,100 thousand or more,0.7111267
100256,Trump and the Republicans in Congress,No,South,Male,22,some college,Independent,35 to under 50 thousand,1.1198453
100320,Trump and the Republicans in Congress,No,West,Female,65,high school or less,Democrat,20 to under 35 thousand,0.947376
100362,Trump and the Republicans in Congress,No,West,Male,37,post-graduate degree,Democrat,100 thousand or more,0.8837071
100409,Pelosi and the Democrats in Congress,No,South,Female,34,high school or less,Democrat,Under 20 thousand dollars,1.5335412
100445,Trump and the Republicans in Congress,No,South,Male,52,high school or less,Democrat,NA,0.8190611
100626,Trump and the Republicans in Congress,No,South,Female,28,post-graduate degree,Democrat,Under 20 thousand dollars,1.2518189
100700,Trump and the Republicans in Congress,No,West,Female,58,some college,Democrat,35 to under 50 thousand,0.9576377
100391,Trump and the Republicans in Congress,No,Midwest,Female,60,college degree,Democrat,100 thousand or more,1.0698977
101011,Trump and the Republicans in Congress,No,South,Male,37,high school or less,Democrat,50 to under 75 thousand,2.0140391
101019,Trump and the Republicans in Congress,No,South,Male,31,college degree,Democrat,100 thousand or more,1.4191221
216,Trump and the Republicans in Congress,No,NA,Female,84,high school or less,Independent,Under 20 thousand dollars,0.7295235
256,Trump and the Republicans in Congress,Yes,NA,Female,70,high school or less,Democrat,20 to under 35 thousand,0.9111904
291,Trump and the Republicans in Congress,No,NA,Male,47,post-graduate degree,Democrat,100 thousand or more,1.06461
292,Trump and the Republicans in Congress,No,NA,Male,56,college degree,Democrat,50 to under 75 thousand,0.9124125
298,Trump and the Republicans in Congress,No,NA,Female,55,high school or less,Independent,20 to under 35 thousand,2.035602
303,Pelosi and the Democrats in Congress,No,NA,Female,28,some college,Democrat,75 to under 100 thousand,2.2355778
100882,Trump and the Republicans in Congress,No,South,Female,68,high school or less,Democrat,Under 20 thousand dollars,0.8858999
100913,Trump and the Republicans in Congress,Yes,West,Female,63,college degree,Democrat,50 to under 75 thousand,0.9476999
304,Trump and the Republicans in Congress,No,NA,Male,35,college degree,Democrat,100 thousand or more,0.7983753
311,Trump and the Republicans in Congress,No,NA,Male,44,college degree,Democrat,100 thousand or more,0.7974636
100131,Pelosi and the Democrats in Congress,No,Northeast,Male,55,some college,Republican,75 to under 100 thousand,0.6185251
100194,Pelosi and the Democrats in Congress,Yes,Midwest,Female,57,some college,Independent,100 thousand or more,1.2630509
100357,Trump and the Republicans in Congress,No,West,Female,47,college degree,Democrat,100 thousand or more,1.1542204
100004,Pelosi and the Democrats in Congress,No,Midwest,Male,NA,some college,Republican,100 thousand or more,0.8726557
100088,Pelosi and the Democrats in Congress,No,Midwest,Male,44,post-graduate degree,Republican,100 thousand or more,0.9589913
100135,Trump and the Republicans in Congress,No,South,Male,26,college degree,Independent,50 to under 75 thousand,0.9862629
100406,Trump and the Republicans in Congress,No,South,Female,62,high school or less,Democrat,20 to under 35 thousand,1.5865995
100418,Trump and the Republicans in Congress,No,Northeast,Male,25,college degree,Democrat,50 to under 75 thousand,1.2716879
100431,Trump and the Republicans in Congress,No,Northeast,Male,59,some college,Independent,100 thousand or more,0.7508868
100475,Trump and the Republicans in Congress,No,Northeast,Male,21,some college,Democrat,Under 20 thousand dollars,1.1195145
100541,NA,Yes,South,Male,32,college degree,Republican,100 thousand or more,0.9063303
100608,Trump and the Republicans in Congress,Yes,Midwest,Female,59,post-graduate degree,Democrat,100 thousand or more,1.0142375
100662,Trump and the Republicans in Congress,No,Midwest,Male,53,post-graduate degree,Democrat,100 thousand or more,0.5772243
100796,Pelosi and the Democrats in Congress,No,South,Male,54,high school or less,Republican,20 to under 35 thousand,0.9388269
100847,Trump and the Republicans in Congress,No,South,Female,50,post-graduate degree,Democrat,100 thousand or more,0.8396266
100890,Trump and the Republicans in Congress,No,South,Male,19,high school or less,Republican,20 to under 35 thousand,1.3997188
100919,Trump and the Republicans in Congress,No,Northeast,Female,45,post-graduate degree,Democrat,50 to under 75 thousand,1.498102
100988,Pelosi and the Democrats in Congress,Yes,South,Female,38,some college,Republican,100 thousand or more,1.4894633
101001,Pelosi and the Democrats in Congress,No,Northeast,Male,60,post-graduate degree,Republican,100 thousand or more,0.2349381
101008,Pelosi and the Democrats in Congress,No,Northeast,Male,35,high school or less,Republican,50 to under 75 thousand,1.0592276
101032,NA,Yes,West,Female,31,college degree,Democrat,75 to under 100 thousand,1.4028205
101074,Pelosi and the Democrats in Congress,No,West,Female,58,some college,Republican,100 thousand or more,1.1625678
101083,Pelosi and the Democrats in Congress,No,West,Male,52,college degree,Independent,100 thousand or more,0.7074164
100474,Trump and the Republicans in Congress,No,Northeast,Female,NA,college degree,Independent,50 to under 75 thousand,1.2138192
100576,Trump and the Republicans in Congress,Yes,Midwest,Male,82,post-graduate degree,Democrat,100 thousand or more,0.4394098
100693,Trump and the Republicans in Congress,No,West,Male,36,some college,Democrat,75 to under 100 thousand,1.1004988
100753,NA,Yes,South,Female,21,some college,Republican,NA,1.6208243
101021,Pelosi and the Democrats in Congress,No,South,Female,70,high school or less,Republican,50 to under 75 thousand,0.729739
101072,NA,No,Midwest,Female,38,some college,Independent,75 to under 100 thousand,1.7304937
101095,Pelosi and the Democrats in Congress,No,West,Male,54,some college,Republican,NA,0.6616424
100012,Trump and the Republicans in Congress,No,Midwest,Male,31,college degree,Democrat,35 to under 50 thousand,0.9746408
100050,NA,No,South,Male,56,college degree,Democrat,75 to under 100 thousand,0.743314
100077,Pelosi and the Democrats in Congress,No,Northeast,Female,74,high school or less,Independent,Under 20 thousand dollars,0.8856383
100107,Trump and the Republicans in Congress,No,Northeast,Male,53,high school or less,Democrat,20 to under 35 thousand,1.0958753
100113,Pelosi and the Democrats in Congress,No,Midwest,Male,68,high school or less,Republican,50 to under 75 thousand,0.7111267
100114,Trump and the Republicans in Congress,No,South,Male,21,some college,Republican,Under 20 thousand dollars,1.3075608
100180,Pelosi and the Democrats in Congress,No,South,Female,57,high school or less,Republican,Under 20 thousand dollars,1.3588247
100259,Pelosi and the Democrats in Congress,No,Midwest,Female,79,some college,Republican,NA,0.8234592
100327,Pelosi and the Democrats in Congress,No,South,Male,56,NA,Republican,75 to under 100 thousand,1.4795853
100333,NA,No,Midwest,Male,71,some college,Independent,100 thousand or more,0.5689371
100358,Trump and the Republicans in Congress,Yes,West,Female,29,post-graduate degree,Republican,100 thousand or more,1.39185
100369,Trump and the Republicans in Congress,Yes,West,Female,35,college degree,Democrat,75 to under 100 thousand,1.7596222
100376,Trump and the Republicans in Congress,Yes,Midwest,Female,21,some college,Republican,50 to under 75 thousand,1.883112
100408,Trump and the Republicans in Congress,No,Northeast,Female,50,high school or less,Democrat,Under 20 thousand dollars,3.2411997
100436,Pelosi and the Democrats in Congress,No,Northeast,Male,63,high school or less,Republican,NA,0.7731079
100522,Trump and the Republicans in Congress,No,South,Female,26,high school or less,Republican,20 to under 35 thousand,2.0259034
100545,Pelosi and the Democrats in Congress,No,South,Male,41,college degree,Democrat,100 thousand or more,0.9052953
100584,Pelosi and the Democrats in Congress,No,Northeast,Female,58,college degree,Republican,50 to under 75 thousand,1.4987193
100607,Trump and the Republicans in Congress,No,Northeast,Male,43,college degree,Democrat,75 to under 100 thousand,0.7454953
100657,Trump and the Republicans in Congress,No,Midwest,Female,45,some college,Independent,50 to under 75 thousand,1.9422661
100686,Pelosi and the Democrats in Congress,No,Midwest,Male,78,high school or less,Independent,20 to under 35 thousand,0.5857737
100703,NA,No,West,Male,41,some college,Republican,50 to under 75 thousand,1.099242
100710,Trump and the Republicans in Congress,Yes,West,Male,82,college degree,NA,35 to under 50 thousand,0.5182404
100755,Trump and the Republicans in Congress,Yes,Midwest,Male,28,college degree,Democrat,75 to under 100 thousand,1.1458635
100806,Trump and the Republicans in Congress,No,South,Male,75,college degree,Democrat,50 to under 75 thousand,0.355256
100874,Trump and the Republicans in Congress,No,Midwest,Female,79,post-graduate degree,Democrat,100 thousand or more,0.5446829
100074,Trump and the Republicans in Congress,No,Northeast,Male,38,high school or less,Democrat,35 to under 50 thousand,1.3286376
100124,NA,No,Midwest,Female,21,high school or less,Republican,Under 20 thousand dollars,2.3537426
100216,Trump and the Republicans in Congress,No,West,Male,30,college degree,Democrat,35 to under 50 thousand,0.9692241
100273,Pelosi and the Democrats in Congress,No,Midwest,Male,30,college degree,Republican,50 to under 75 thousand,1.0529961
100394,Trump and the Republicans in Congress,No,South,Male,42,high school or less,Democrat,35 to under 50 thousand,0.5485327
100574,Trump and the Republicans in Congress,Yes,Midwest,Male,20,high school or less,Democrat,Under 20 thousand dollars,1.5641119
100958,Trump and the Republicans in Congress,No,Northeast,Male,41,post-graduate degree,Democrat,100 thousand or more,0.6797184
100967,Trump and the Republicans in Congress,No,Northeast,Female,50,some college,Democrat,100 thousand or more,1.0452956
101006,Pelosi and the Democrats in Congress,No,Northeast,Male,74,college degree,Republican,100 thousand or more,0.3551512
100616,Trump and the Republicans in Congress,No,South,Male,81,high school or less,Democrat,20 to under 35 thousand,0.5041847
100174,Pelosi and the Democrats in Congress,No,South,Female,42,post-graduate degree,Independent,100 thousand or more,1.1946821
100314,Pelosi and the Democrats in Congress,No,West,Male,71,college degree,Republican,35 to under 50 thousand,0.3799087
100370,Trump and the Republicans in Congress,No,West,Female,49,some college,Democrat,75 to under 100 thousand,1.5910039
100873,NA,No,South,Male,21,high school or less,NA,Under 20 thousand dollars,1.1529852
100894,Trump and the Republicans in Congress,Yes,South,Female,68,some college,Democrat,20 to under 35 thousand,0.6816927
100932,Trump and the Republicans in Congress,No,West,Female,32,post-graduate degree,Democrat,100 thousand or more,1.2790462
100069,Pelosi and the Democrats in Congress,No,Northeast,Male,47,some college,Republican,100 thousand or more,0.40039400000000003
100112,Trump and the Republicans in Congress,Yes,Midwest,Male,31,post-graduate degree,Democrat,50 to under 75 thousand,0.9600877
100197,Pelosi and the Democrats in Congress,No,South,Male,38,post-graduate degree,Republican,75 to under 100 thousand,0.8263626
100740,Trump and the Republicans in Congress,No,South,Female,72,high school or less,Democrat,Under 20 thousand dollars,1.8103035
100852,Trump and the Republicans in Congress,Yes,Northeast,Male,20,some college,Democrat,100 thousand or more,1.1195145
100968,Trump and the Republicans in Congress,No,Midwest,Female,48,high school or less,Democrat,20 to under 35 thousand,2.1605114
101022,Pelosi and the Democrats in Congress,No,Northeast,Male,76,college degree,Republican,100 thousand or more,0.3551512
101079,Trump and the Republicans in Congress,No,West,Female,46,high school or less,Democrat,NA,4.7448736
100105,Pelosi and the Democrats in Congress,No,South,Male,60,some college,Republican,100 thousand or more,0.7511086
100215,Trump and the Republicans in Congress,No,Midwest,Male,66,high school or less,Democrat,20 to under 35 thousand,0.5857737
100243,Trump and the Republicans in Congress,No,Midwest,Male,56,college degree,Democrat,35 to under 50 thousand,0.7685596
100278,Pelosi and the Democrats in Congress,Yes,South,Female,51,college degree,Republican,NA,0.9574482
100446,Pelosi and the Democrats in Congress,No,South,Female,23,high school or less,Republican,Under 20 thousand dollars,2.0259034
100479,NA,No,South,Female,23,college degree,Democrat,75 to under 100 thousand,1.1758541
100505,Trump and the Republicans in Congress,No,South,Female,76,some college,Democrat,50 to under 75 thousand,0.5838277
100610,Trump and the Republicans in Congress,Yes,South,Male,33,post-graduate degree,Republican,50 to under 75 thousand,0.8263626
100812,Pelosi and the Democrats in Congress,No,South,Female,25,some college,Republican,75 to under 100 thousand,1.6208243
100912,Trump and the Republicans in Congress,No,West,Female,55,post-graduate degree,Democrat,100 thousand or more,0.7689889
100006,Pelosi and the Democrats in Congress,No,Northeast,Female,20,college degree,Republican,NA,0.2468197
100037,Trump and the Republicans in Congress,No,South,Female,74,college degree,Democrat,100 thousand or more,0.514185
100239,Trump and the Republicans in Congress,No,Midwest,Male,51,high school or less,Democrat,NA,1.0907513
100305,Pelosi and the Democrats in Congress,No,West,Male,41,high school or less,Republican,100 thousand or more,1.3739665
100317,Trump and the Republicans in Congress,Yes,West,Female,60,some college,Independent,20 to under 35 thousand,1.3063311
100324,Pelosi and the Democrats in Congress,Yes,Midwest,Male,38,high school or less,Republican,100 thousand or more,1.4944276
100337,Trump and the Republicans in Congress,No,West,Male,78,high school or less,Democrat,Under 20 thousand dollars,0.8210352
100342,Trump and the Republicans in Congress,Yes,West,Female,65,some college,Democrat,35 to under 50 thousand,0.8516763
100352,Trump and the Republicans in Congress,No,West,Female,70,some college,Democrat,Under 20 thousand dollars,0.7579483
100502,Trump and the Republicans in Congress,No,South,Male,31,post-graduate degree,Republican,100 thousand or more,0.9648828
100558,Trump and the Republicans in Congress,No,Northeast,Male,47,college degree,Democrat,100 thousand or more,1.0567345
100678,NA,Yes,West,Male,29,college degree,Democrat,20 to under 35 thousand,1.0547034
100725,Trump and the Republicans in Congress,No,West,Male,51,college degree,Democrat,NA,0.7074164
100752,Trump and the Republicans in Congress,No,Midwest,Female,29,some college,Republican,35 to under 50 thousand,2.1159779
100823,Trump and the Republicans in Congress,No,South,Male,52,post-graduate degree,Democrat,100 thousand or more,0.6031447
100957,Trump and the Republicans in Congress,Yes,West,Male,22,college degree,Democrat,35 to under 50 thousand,1.0547034
100970,Trump and the Republicans in Congress,Yes,South,Female,21,some college,Democrat,50 to under 75 thousand,1.8212555
100980,Pelosi and the Democrats in Congress,No,South,Female,72,post-graduate degree,Republican,100 thousand or more,0.569142
101046,NA,No,West,Female,53,some college,Democrat,Under 20 thousand dollars,1.3574449
101070,Pelosi and the Democrats in Congress,Yes,South,Female,29,high school or less,Republican,20 to under 35 thousand,2.0259034
101100,Trump and the Republicans in Congress,No,West,Male,68,post-graduate degree,NA,35 to under 50 thousand,0.3892228
100532,NA,No,South,Female,42,high school or less,Independent,35 to under 50 thousand,1.8595863
100595,Trump and the Republicans in Congress,Yes,South,Male,72,post-graduate degree,Democrat,35 to under 50 thousand,0.323911
100614,Pelosi and the Democrats in Congress,No,Midwest,Female,37,high school or less,Republican,50 to under 75 thousand,2.7131268
100758,Trump and the Republicans in Congress,Yes,South,Female,39,high school or less,Democrat,20 to under 35 thousand,2.1737843
100795,Trump and the Republicans in Congress,No,South,Female,58,post-graduate degree,Democrat,100 thousand or more,0.7190884
100908,Trump and the Republicans in Congress,No,West,Male,25,high school or less,Republican,35 to under 50 thousand,1.4968508
100960,Trump and the Republicans in Congress,No,Northeast,Female,59,high school or less,Independent,Under 20 thousand dollars,1.3584234
100998,Pelosi and the Democrats in Congress,No,Northeast,Male,45,college degree,Republican,100 thousand or more,0.7454953
101013,Trump and the Republicans in Congress,No,Northeast,Male,76,post-graduate degree,Democrat,75 to under 100 thousand,0.3238153
101026,Trump and the Republicans in Congress,Yes,West,Male,35,high school or less,Republican,20 to under 35 thousand,1.5456363
101038,Trump and the Republicans in Congress,No,West,Male,20,high school or less,Independent,Under 20 thousand dollars,1.7477624
101052,Trump and the Republicans in Congress,Yes,West,Male,43,post-graduate degree,Democrat,100 thousand or more,0.8489828
100042,Pelosi and the Democrats in Congress,No,Northeast,Male,55,some college,Republican,75 to under 100 thousand,0.7508868
100086,Trump and the Republicans in Congress,Yes,South,Male,56,college degree,Democrat,100 thousand or more,0.2577494
100232,NA,No,Midwest,Male,29,post-graduate degree,Republican,75 to under 100 thousand,1.0447612
100340,NA,No,West,Male,57,college degree,Democrat,100 thousand or more,0.7074164
100347,Pelosi and the Democrats in Congress,No,West,Male,42,post-graduate degree,Republican,100 thousand or more,0.882698
100351,NA,No,West,Male,45,post-graduate degree,Democrat,100 thousand or more,0.882698
100388,Pelosi and the Democrats in Congress,No,South,Male,32,high school or less,Republican,35 to under 50 thousand,1.2862774
100434,Pelosi and the Democrats in Congress,No,Midwest,Male,36,high school or less,Republican,50 to under 75 thousand,1.2309992
100450,Pelosi and the Democrats in Congress,No,Midwest,Female,35,college degree,Republican,100 thousand or more,1.5240691
100497,Trump and the Republicans in Congress,No,Midwest,Female,78,high school or less,Democrat,35 to under 50 thousand,1.0292596
100766,Trump and the Republicans in Congress,Yes,Midwest,Male,56,post-graduate degree,Democrat,100 thousand or more,0.724039
100779,Trump and the Republicans in Congress,No,Northeast,Female,45,some college,Republican,50 to under 75 thousand,1.4873229
100821,Pelosi and the Democrats in Congress,No,South,Female,45,some college,Republican,100 thousand or more,1.4877622
100961,Trump and the Republicans in Congress,No,South,Male,35,post-graduate degree,Democrat,100 thousand or more,1.0365446
100975,Trump and the Republicans in Congress,No,South,Male,86,high school or less,Democrat,35 to under 50 thousand,0.7146785
101062,Trump and the Republicans in Congress,No,West,Male,75,post-graduate degree,Democrat,75 to under 100 thousand,0.420514
100331,Pelosi and the Democrats in Congress,No,South,Male,18,some college,Republican,NA,1.1198453
100364,Trump and the Republicans in Congress,No,West,Female,38,post-graduate degree,Democrat,Under 20 thousand dollars,1.6043665
100518,Trump and the Republicans in Congress,No,Northeast,Female,23,some college,Democrat,50 to under 75 thousand,1.6203456
100563,Trump and the Republicans in Congress,No,South,Male,23,high school or less,Democrat,NA,1.5728082
100634,Pelosi and the Democrats in Congress,No,West,Female,64,post-graduate degree,Democrat,50 to under 75 thousand,0.7689889
100738,Trump and the Republicans in Congress,No,Midwest,Male,73,college degree,Democrat,100 thousand or more,0.412745
100815,Trump and the Republicans in Congress,Yes,Northeast,Female,21,college degree,Democrat,Under 20 thousand dollars,1.7900272
100859,Trump and the Republicans in Congress,No,Northeast,Female,33,college degree,Democrat,100 thousand or more,2.0533803
100940,Trump and the Republicans in Congress,No,West,Female,75,college degree,Republican,100 thousand or more,0.6675353
100207,NA,Yes,Midwest,Male,21,some college,Democrat,20 to under 35 thousand,1.0717195
100581,Pelosi and the Democrats in Congress,No,South,Male,31,post-graduate degree,Republican,50 to under 75 thousand,0.8263626
100631,Trump and the Republicans in Congress,Yes,Northeast,Female,58,some college,Democrat,100 thousand or more,1.0868069
100798,Pelosi and the Democrats in Congress,No,Northeast,Female,54,some college,Republican,20 to under 35 thousand,1.3632316
100393,NA,No,South,Male,22,some college,NA,50 to under 75 thousand,0.4363331
100410,Trump and the Republicans in Congress,No,South,Female,40,college degree,Democrat,75 to under 100 thousand,1.2602449
