question_id,pollster,numeric_grade,methodology,state,start_date,end_date,sample_size,population,internal,partisan,office_type,answer,pct
136721,Trafalgar Group,0.7,IVR/Live Phone/Text/Online Panel/Email,Georgia,10/31/20,11/2/20,1041,lv,NA,REP,U.S. President,Jorgensen,2.6
136727,Øptimus,NA,Live Phone,South Carolina,10/31/20,11/2/20,817,lv,NA,NA,U.S. President,Biden,39
136727,Øptimus,NA,Live Phone,South Carolina,10/31/20,11/2/20,817,lv,NA,NA,U.S. President,Trump,51.4
137480,HarrisX,1.5,Online Panel,NA,10/31/20,11/2/20,2813,rv,NA,NA,U.S. President,Biden,51
137480,HarrisX,1.5,Online Panel,NA,10/31/20,11/2/20,2813,rv,NA,NA,U.S. President,Trump,49
137481,HarrisX,1.5,Online Panel,NA,10/31/20,11/2/20,2297,lv,NA,NA,U.S. President,Biden,52
137481,HarrisX,1.5,Online Panel,NA,10/31/20,11/2/20,2297,lv,NA,NA,U.S. President,Trump,48
136533,University of Nevada Las Vegas Lee Business School,NA,Online Panel,Nebraska CD-2,10/30/20,11/2/20,191,lv,NA,NA,U.S. President,Biden,50.2
136533,University of Nevada Las Vegas Lee Business School,NA,Online Panel,Nebraska CD-2,10/30/20,11/2/20,191,lv,NA,NA,U.S. President,Trump,44.3
136533,University of Nevada Las Vegas Lee Business School,NA,Online Panel,Nebraska CD-2,10/30/20,11/2/20,191,lv,NA,NA,U.S. President,Jorgensen,5.4
136537,Change Research,1.4,Text-to-Web/Online Ad,Nebraska CD-2,10/29/20,11/2/20,547,lv,FALSE,NA,U.S. President,Biden,50
136537,Change Research,1.4,Text-to-Web/Online Ad,Nebraska CD-2,10/29/20,11/2/20,547,lv,FALSE,NA,U.S. President,Trump,47
136537,Change Research,1.4,Text-to-Web/Online Ad,Nebraska CD-2,10/29/20,11/2/20,547,lv,FALSE,NA,U.S. President,Jorgensen,2
136544,Change Research,1.4,Text-to-Web/Online Ad,Montana,10/29/20,11/2/20,920,lv,FALSE,NA,U.S. President,Biden,45
136544,Change Research,1.4,Text-to-Web/Online Ad,Montana,10/29/20,11/2/20,920,lv,FALSE,NA,U.S. President,Trump,50
136544,Change Research,1.4,Text-to-Web/Online Ad,Montana,10/29/20,11/2/20,920,lv,FALSE,NA,U.S. President,Jorgensen,2
136602,Change Research,1.4,Text-to-Web/Online Ad,Maine,10/29/20,11/2/20,1024,lv,FALSE,NA,U.S. President,Biden,52
136602,Change Research,1.4,Text-to-Web/Online Ad,Maine,10/29/20,11/2/20,1024,lv,FALSE,NA,U.S. President,Trump,40
136602,Change Research,1.4,Text-to-Web/Online Ad,Maine,10/29/20,11/2/20,1024,lv,FALSE,NA,U.S. President,Jorgensen,4
136602,Change Research,1.4,Text-to-Web/Online Ad,Maine,10/29/20,11/2/20,1024,lv,FALSE,NA,U.S. President,Hawkins,2
136601,Change Research,1.4,Text-to-Web/Online Ad,Maine CD-2,10/29/20,11/2/20,475,lv,FALSE,NA,U.S. President,Biden,47
136601,Change Research,1.4,Text-to-Web/Online Ad,Maine CD-2,10/29/20,11/2/20,475,lv,FALSE,NA,U.S. President,Trump,46
136601,Change Research,1.4,Text-to-Web/Online Ad,Maine CD-2,10/29/20,11/2/20,475,lv,FALSE,NA,U.S. President,Jorgensen,4
136601,Change Research,1.4,Text-to-Web/Online Ad,Maine CD-2,10/29/20,11/2/20,475,lv,FALSE,NA,U.S. President,Hawkins,1
136605,Change Research,1.4,Text-to-Web/Online Ad,Maine CD-2,10/29/20,11/2/20,475,lv,FALSE,NA,U.S. President,Biden,50
136605,Change Research,1.4,Text-to-Web/Online Ad,Maine CD-2,10/29/20,11/2/20,475,lv,FALSE,NA,U.S. President,Trump,50
136606,Change Research,1.4,Text-to-Web/Online Ad,Maine CD-1,10/29/20,11/2/20,549,lv,FALSE,NA,U.S. President,Biden,56
136606,Change Research,1.4,Text-to-Web/Online Ad,Maine CD-1,10/29/20,11/2/20,549,lv,FALSE,NA,U.S. President,Trump,35
136606,Change Research,1.4,Text-to-Web/Online Ad,Maine CD-1,10/29/20,11/2/20,549,lv,FALSE,NA,U.S. President,Jorgensen,2
136606,Change Research,1.4,Text-to-Web/Online Ad,Maine CD-1,10/29/20,11/2/20,549,lv,FALSE,NA,U.S. President,Hawkins,3
136725,TIPP,1.8,Live Phone/Online Panel,NA,10/29/20,11/2/20,1212,lv,NA,NA,U.S. President,Biden,50.2
136725,TIPP,1.8,Live Phone/Online Panel,NA,10/29/20,11/2/20,1212,lv,NA,NA,U.S. President,Trump,46.2
136725,TIPP,1.8,Live Phone/Online Panel,NA,10/29/20,11/2/20,1212,lv,NA,NA,U.S. President,Jorgensen,2
136725,TIPP,1.8,Live Phone/Online Panel,NA,10/29/20,11/2/20,1212,lv,NA,NA,U.S. President,Hawkins,0.8
136726,TIPP,1.8,Live Phone/Online Panel,NA,10/29/20,11/2/20,1212,lv,NA,NA,U.S. President,Biden,50.7
136726,TIPP,1.8,Live Phone/Online Panel,NA,10/29/20,11/2/20,1212,lv,NA,NA,U.S. President,Trump,45.9
136341,Ipsos,2.8,Probability Panel,Arizona,10/27/20,11/2/20,610,lv,NA,NA,U.S. President,Biden,50
136341,Ipsos,2.8,Probability Panel,Arizona,10/27/20,11/2/20,610,lv,NA,NA,U.S. President,Trump,48
136342,Ipsos,2.8,Probability Panel,Arizona,10/27/20,11/2/20,610,lv,NA,NA,U.S. President,Biden,50
136342,Ipsos,2.8,Probability Panel,Arizona,10/27/20,11/2/20,610,lv,NA,NA,U.S. President,Trump,47
136342,Ipsos,2.8,Probability Panel,Arizona,10/27/20,11/2/20,610,lv,NA,NA,U.S. President,West,1
136342,Ipsos,2.8,Probability Panel,Arizona,10/27/20,11/2/20,610,lv,NA,NA,U.S. President,Jorgensen,1
136342,Ipsos,2.8,Probability Panel,Arizona,10/27/20,11/2/20,610,lv,NA,NA,U.S. President,Hawkins,0
136547,Swayable,NA,Online Ad,Florida,10/27/20,11/2/20,1261,lv,NA,NA,U.S. President,Biden,53
136547,Swayable,NA,Online Ad,Florida,10/27/20,11/2/20,1261,lv,NA,NA,U.S. President,Trump,45.5
136547,Swayable,NA,Online Ad,Florida,10/27/20,11/2/20,1261,lv,NA,NA,U.S. President,Jorgensen,0.8
136547,Swayable,NA,Online Ad,Florida,10/27/20,11/2/20,1261,lv,NA,NA,U.S. President,Hawkins,0.8
136552,Swayable,NA,Online Ad,North Carolina,10/27/20,11/2/20,690,lv,NA,NA,U.S. President,Biden,52.3
136552,Swayable,NA,Online Ad,North Carolina,10/27/20,11/2/20,690,lv,NA,NA,U.S. President,Trump,46.4
136552,Swayable,NA,Online Ad,North Carolina,10/27/20,11/2/20,690,lv,NA,NA,U.S. President,Jorgensen,1
136552,Swayable,NA,Online Ad,North Carolina,10/27/20,11/2/20,690,lv,NA,NA,U.S. President,Hawkins,0.3
136555,Swayable,NA,Online Ad,Pennsylvania,10/27/20,11/2/20,1107,lv,NA,NA,U.S. President,Biden,49.9
136555,Swayable,NA,Online Ad,Pennsylvania,10/27/20,11/2/20,1107,lv,NA,NA,U.S. President,Trump,48.4
136555,Swayable,NA,Online Ad,Pennsylvania,10/27/20,11/2/20,1107,lv,NA,NA,U.S. President,Jorgensen,1.7
136556,Swayable,NA,Online Ad,Texas,10/27/20,11/2/20,1151,lv,NA,NA,U.S. President,Biden,47.2
136556,Swayable,NA,Online Ad,Texas,10/27/20,11/2/20,1151,lv,NA,NA,U.S. President,Trump,51.2
136556,Swayable,NA,Online Ad,Texas,10/27/20,11/2/20,1151,lv,NA,NA,U.S. President,Jorgensen,1.2
136556,Swayable,NA,Online Ad,Texas,10/27/20,11/2/20,1151,lv,NA,NA,U.S. President,Hawkins,0.4
136722,USC Dornsife,2.4,Probability Panel,NA,10/20/20,11/2/20,5327,rv,NA,NA,U.S. President,Biden,52.68
136722,USC Dornsife,2.4,Probability Panel,NA,10/20/20,11/2/20,5327,rv,NA,NA,U.S. President,Trump,42.12
136723,USC Dornsife,2.4,Probability Panel,NA,10/20/20,11/2/20,5423,lv,NA,NA,U.S. President,Biden,54.27
136723,USC Dornsife,2.4,Probability Panel,NA,10/20/20,11/2/20,5423,lv,NA,NA,U.S. President,Trump,42.08
136724,USC Dornsife,2.4,Probability Panel,NA,10/20/20,11/2/20,5423,lv,NA,NA,U.S. President,Biden,53.53
136724,USC Dornsife,2.4,Probability Panel,NA,10/20/20,11/2/20,5423,lv,NA,NA,U.S. President,Trump,42.64
136617,SurveyMonkey,2,Online Panel,Wyoming,10/20/20,11/2/20,367,rv,NA,NA,U.S. President,Biden,32
136617,SurveyMonkey,2,Online Panel,Wyoming,10/20/20,11/2/20,367,rv,NA,NA,U.S. President,Trump,66
136669,SurveyMonkey,2,Online Panel,Wyoming,10/20/20,11/2/20,367,lv,NA,NA,U.S. President,Biden,33
136669,SurveyMonkey,2,Online Panel,Wyoming,10/20/20,11/2/20,367,lv,NA,NA,U.S. President,Trump,66
136618,SurveyMonkey,2,Online Panel,West Virginia,10/20/20,11/2/20,816,rv,NA,NA,U.S. President,Biden,32
136618,SurveyMonkey,2,Online Panel,West Virginia,10/20/20,11/2/20,816,rv,NA,NA,U.S. President,Trump,67
136670,SurveyMonkey,2,Online Panel,West Virginia,10/20/20,11/2/20,816,lv,NA,NA,U.S. President,Biden,32
136670,SurveyMonkey,2,Online Panel,West Virginia,10/20/20,11/2/20,816,lv,NA,NA,U.S. President,Trump,67
136619,SurveyMonkey,2,Online Panel,Wisconsin,10/20/20,11/2/20,2814,rv,NA,NA,U.S. President,Biden,55
136619,SurveyMonkey,2,Online Panel,Wisconsin,10/20/20,11/2/20,2814,rv,NA,NA,U.S. President,Trump,43
136671,SurveyMonkey,2,Online Panel,Wisconsin,10/20/20,11/2/20,2814,lv,NA,NA,U.S. President,Biden,54
136671,SurveyMonkey,2,Online Panel,Wisconsin,10/20/20,11/2/20,2814,lv,NA,NA,U.S. President,Trump,44
136620,SurveyMonkey,2,Online Panel,Washington,10/20/20,11/2/20,4142,rv,NA,NA,U.S. President,Biden,62
136620,SurveyMonkey,2,Online Panel,Washington,10/20/20,11/2/20,4142,rv,NA,NA,U.S. President,Trump,35
136672,SurveyMonkey,2,Online Panel,Washington,10/20/20,11/2/20,4142,lv,NA,NA,U.S. President,Biden,62
136672,SurveyMonkey,2,Online Panel,Washington,10/20/20,11/2/20,4142,lv,NA,NA,U.S. President,Trump,35
136621,SurveyMonkey,2,Online Panel,Vermont,10/20/20,11/2/20,906,rv,NA,NA,U.S. President,Biden,68
136621,SurveyMonkey,2,Online Panel,Vermont,10/20/20,11/2/20,906,rv,NA,NA,U.S. President,Trump,28
136673,SurveyMonkey,2,Online Panel,Vermont,10/20/20,11/2/20,906,lv,NA,NA,U.S. President,Biden,71
136673,SurveyMonkey,2,Online Panel,Vermont,10/20/20,11/2/20,906,lv,NA,NA,U.S. President,Trump,26
136622,SurveyMonkey,2,Online Panel,Virginia,10/20/20,11/2/20,4550,rv,NA,NA,U.S. President,Biden,57
136622,SurveyMonkey,2,Online Panel,Virginia,10/20/20,11/2/20,4550,rv,NA,NA,U.S. President,Trump,39
136674,SurveyMonkey,2,Online Panel,Virginia,10/20/20,11/2/20,4550,lv,NA,NA,U.S. President,Biden,57
136674,SurveyMonkey,2,Online Panel,Virginia,10/20/20,11/2/20,4550,lv,NA,NA,U.S. President,Trump,41
136623,SurveyMonkey,2,Online Panel,Utah,10/20/20,11/2/20,1586,rv,NA,NA,U.S. President,Biden,43
136623,SurveyMonkey,2,Online Panel,Utah,10/20/20,11/2/20,1586,rv,NA,NA,U.S. President,Trump,55
136675,SurveyMonkey,2,Online Panel,Utah,10/20/20,11/2/20,1586,lv,NA,NA,U.S. President,Biden,43
136675,SurveyMonkey,2,Online Panel,Utah,10/20/20,11/2/20,1586,lv,NA,NA,U.S. President,Trump,55
136624,SurveyMonkey,2,Online Panel,Texas,10/20/20,11/2/20,9226,rv,NA,NA,U.S. President,Biden,50
136624,SurveyMonkey,2,Online Panel,Texas,10/20/20,11/2/20,9226,rv,NA,NA,U.S. President,Trump,47
136676,SurveyMonkey,2,Online Panel,Texas,10/20/20,11/2/20,9226,lv,NA,NA,U.S. President,Biden,47
136676,SurveyMonkey,2,Online Panel,Texas,10/20/20,11/2/20,9226,lv,NA,NA,U.S. President,Trump,51
136625,SurveyMonkey,2,Online Panel,Tennessee,10/20/20,11/2/20,3342,rv,NA,NA,U.S. President,Biden,47
136625,SurveyMonkey,2,Online Panel,Tennessee,10/20/20,11/2/20,3342,rv,NA,NA,U.S. President,Trump,51
136677,SurveyMonkey,2,Online Panel,Tennessee,10/20/20,11/2/20,3342,lv,NA,NA,U.S. President,Biden,45
136677,SurveyMonkey,2,Online Panel,Tennessee,10/20/20,11/2/20,3342,lv,NA,NA,U.S. President,Trump,54
136626,SurveyMonkey,2,Online Panel,South Dakota,10/20/20,11/2/20,606,rv,NA,NA,U.S. President,Biden,37
136626,SurveyMonkey,2,Online Panel,South Dakota,10/20/20,11/2/20,606,rv,NA,NA,U.S. President,Trump,61
136678,SurveyMonkey,2,Online Panel,South Dakota,10/20/20,11/2/20,606,lv,NA,NA,U.S. President,Biden,36
136678,SurveyMonkey,2,Online Panel,South Dakota,10/20/20,11/2/20,606,lv,NA,NA,U.S. President,Trump,63
136627,SurveyMonkey,2,Online Panel,South Carolina,10/20/20,11/2/20,2485,rv,NA,NA,U.S. President,Biden,44
136627,SurveyMonkey,2,Online Panel,South Carolina,10/20/20,11/2/20,2485,rv,NA,NA,U.S. President,Trump,53
136679,SurveyMonkey,2,Online Panel,South Carolina,10/20/20,11/2/20,2485,lv,NA,NA,U.S. President,Biden,42
136679,SurveyMonkey,2,Online Panel,South Carolina,10/20/20,11/2/20,2485,lv,NA,NA,U.S. President,Trump,56
136628,SurveyMonkey,2,Online Panel,Rhode Island,10/20/20,11/2/20,566,rv,NA,NA,U.S. President,Biden,62
136628,SurveyMonkey,2,Online Panel,Rhode Island,10/20/20,11/2/20,566,rv,NA,NA,U.S. President,Trump,36
136680,SurveyMonkey,2,Online Panel,Rhode Island,10/20/20,11/2/20,566,lv,NA,NA,U.S. President,Biden,62
136680,SurveyMonkey,2,Online Panel,Rhode Island,10/20/20,11/2/20,566,lv,NA,NA,U.S. President,Trump,36
136629,SurveyMonkey,2,Online Panel,Pennsylvania,10/20/20,11/2/20,6045,rv,NA,NA,U.S. President,Biden,52
136629,SurveyMonkey,2,Online Panel,Pennsylvania,10/20/20,11/2/20,6045,rv,NA,NA,U.S. President,Trump,45
136681,SurveyMonkey,2,Online Panel,Pennsylvania,10/20/20,11/2/20,6045,lv,NA,NA,U.S. President,Biden,52
136681,SurveyMonkey,2,Online Panel,Pennsylvania,10/20/20,11/2/20,6045,lv,NA,NA,U.S. President,Trump,47
136630,SurveyMonkey,2,Online Panel,Oregon,10/20/20,11/2/20,3543,rv,NA,NA,U.S. President,Biden,59
136630,SurveyMonkey,2,Online Panel,Oregon,10/20/20,11/2/20,3543,rv,NA,NA,U.S. President,Trump,39
136682,SurveyMonkey,2,Online Panel,Oregon,10/20/20,11/2/20,3543,lv,NA,NA,U.S. President,Biden,59
136682,SurveyMonkey,2,Online Panel,Oregon,10/20/20,11/2/20,3543,lv,NA,NA,U.S. President,Trump,39
136631,SurveyMonkey,2,Online Panel,Oklahoma,10/20/20,11/2/20,1902,rv,NA,NA,U.S. President,Biden,36
136631,SurveyMonkey,2,Online Panel,Oklahoma,10/20/20,11/2/20,1902,rv,NA,NA,U.S. President,Trump,63
136683,SurveyMonkey,2,Online Panel,Oklahoma,10/20/20,11/2/20,1902,lv,NA,NA,U.S. President,Biden,35
136683,SurveyMonkey,2,Online Panel,Oklahoma,10/20/20,11/2/20,1902,lv,NA,NA,U.S. President,Trump,65
136632,SurveyMonkey,2,Online Panel,Ohio,10/20/20,11/2/20,6025,rv,NA,NA,U.S. President,Biden,48
136632,SurveyMonkey,2,Online Panel,Ohio,10/20/20,11/2/20,6025,rv,NA,NA,U.S. President,Trump,50
136684,SurveyMonkey,2,Online Panel,Ohio,10/20/20,11/2/20,6025,lv,NA,NA,U.S. President,Biden,47
136684,SurveyMonkey,2,Online Panel,Ohio,10/20/20,11/2/20,6025,lv,NA,NA,U.S. President,Trump,51
136633,SurveyMonkey,2,Online Panel,New York,10/20/20,11/2/20,6548,rv,NA,NA,U.S. President,Biden,62
136633,SurveyMonkey,2,Online Panel,New York,10/20/20,11/2/20,6548,rv,NA,NA,U.S. President,Trump,34
136685,SurveyMonkey,2,Online Panel,New York,10/20/20,11/2/20,6548,lv,NA,NA,U.S. President,Biden,63
136685,SurveyMonkey,2,Online Panel,New York,10/20/20,11/2/20,6548,lv,NA,NA,U.S. President,Trump,35
136634,SurveyMonkey,2,Online Panel,Nevada,10/20/20,11/2/20,2366,rv,NA,NA,U.S. President,Biden,50
136634,SurveyMonkey,2,Online Panel,Nevada,10/20/20,11/2/20,2366,rv,NA,NA,U.S. President,Trump,48
136686,SurveyMonkey,2,Online Panel,Nevada,10/20/20,11/2/20,2366,lv,NA,NA,U.S. President,Biden,49
136686,SurveyMonkey,2,Online Panel,Nevada,10/20/20,11/2/20,2366,lv,NA,NA,U.S. President,Trump,49
136635,SurveyMonkey,2,Online Panel,New Mexico,10/20/20,11/2/20,1481,rv,NA,NA,U.S. President,Biden,56
136635,SurveyMonkey,2,Online Panel,New Mexico,10/20/20,11/2/20,1481,rv,NA,NA,U.S. President,Trump,42
136687,SurveyMonkey,2,Online Panel,New Mexico,10/20/20,11/2/20,1481,lv,NA,NA,U.S. President,Biden,56
136687,SurveyMonkey,2,Online Panel,New Mexico,10/20/20,11/2/20,1481,lv,NA,NA,U.S. President,Trump,42
136636,SurveyMonkey,2,Online Panel,New Jersey,10/20/20,11/2/20,3870,rv,NA,NA,U.S. President,Biden,59
136636,SurveyMonkey,2,Online Panel,New Jersey,10/20/20,11/2/20,3870,rv,NA,NA,U.S. President,Trump,38
136688,SurveyMonkey,2,Online Panel,New Jersey,10/20/20,11/2/20,3870,lv,NA,NA,U.S. President,Biden,59
136688,SurveyMonkey,2,Online Panel,New Jersey,10/20/20,11/2/20,3870,lv,NA,NA,U.S. President,Trump,38
136637,SurveyMonkey,2,Online Panel,New Hampshire,10/20/20,11/2/20,1013,rv,NA,NA,U.S. President,Biden,54
136637,SurveyMonkey,2,Online Panel,New Hampshire,10/20/20,11/2/20,1013,rv,NA,NA,U.S. President,Trump,43
136689,SurveyMonkey,2,Online Panel,New Hampshire,10/20/20,11/2/20,1013,lv,NA,NA,U.S. President,Biden,54
136689,SurveyMonkey,2,Online Panel,New Hampshire,10/20/20,11/2/20,1013,lv,NA,NA,U.S. President,Trump,45
136638,SurveyMonkey,2,Online Panel,Nebraska,10/20/20,11/2/20,1742,rv,NA,NA,U.S. President,Biden,44
136638,SurveyMonkey,2,Online Panel,Nebraska,10/20/20,11/2/20,1742,rv,NA,NA,U.S. President,Trump,54
136690,SurveyMonkey,2,Online Panel,Nebraska,10/20/20,11/2/20,1742,lv,NA,NA,U.S. President,Biden,43
136690,SurveyMonkey,2,Online Panel,Nebraska,10/20/20,11/2/20,1742,lv,NA,NA,U.S. President,Trump,56
136639,SurveyMonkey,2,Online Panel,North Dakota,10/20/20,11/2/20,402,rv,NA,NA,U.S. President,Biden,40
136639,SurveyMonkey,2,Online Panel,North Dakota,10/20/20,11/2/20,402,rv,NA,NA,U.S. President,Trump,58
136691,SurveyMonkey,2,Online Panel,North Dakota,10/20/20,11/2/20,402,lv,NA,NA,U.S. President,Biden,39
136691,SurveyMonkey,2,Online Panel,North Dakota,10/20/20,11/2/20,402,lv,NA,NA,U.S. President,Trump,59
136640,SurveyMonkey,2,Online Panel,North Carolina,10/20/20,11/2/20,5363,rv,NA,NA,U.S. President,Biden,51
136640,SurveyMonkey,2,Online Panel,North Carolina,10/20/20,11/2/20,5363,rv,NA,NA,U.S. President,Trump,47
136692,SurveyMonkey,2,Online Panel,North Carolina,10/20/20,11/2/20,5363,lv,NA,NA,U.S. President,Biden,50
136692,SurveyMonkey,2,Online Panel,North Carolina,10/20/20,11/2/20,5363,lv,NA,NA,U.S. President,Trump,48
136641,SurveyMonkey,2,Online Panel,Montana,10/20/20,11/2/20,1021,rv,NA,NA,U.S. President,Biden,46
136641,SurveyMonkey,2,Online Panel,Montana,10/20/20,11/2/20,1021,rv,NA,NA,U.S. President,Trump,51
136693,SurveyMonkey,2,Online Panel,Montana,10/20/20,11/2/20,1021,lv,NA,NA,U.S. President,Biden,46
136693,SurveyMonkey,2,Online Panel,Montana,10/20/20,11/2/20,1021,lv,NA,NA,U.S. President,Trump,52
136642,SurveyMonkey,2,Online Panel,Mississippi,10/20/20,11/2/20,1461,rv,NA,NA,U.S. President,Biden,42
136642,SurveyMonkey,2,Online Panel,Mississippi,10/20/20,11/2/20,1461,rv,NA,NA,U.S. President,Trump,56
136694,SurveyMonkey,2,Online Panel,Mississippi,10/20/20,11/2/20,1461,lv,NA,NA,U.S. President,Biden,37
136694,SurveyMonkey,2,Online Panel,Mississippi,10/20/20,11/2/20,1461,lv,NA,NA,U.S. President,Trump,61
136643,SurveyMonkey,2,Online Panel,Missouri,10/20/20,11/2/20,2926,rv,NA,NA,U.S. President,Biden,44
136643,SurveyMonkey,2,Online Panel,Missouri,10/20/20,11/2/20,2926,rv,NA,NA,U.S. President,Trump,53
136695,SurveyMonkey,2,Online Panel,Missouri,10/20/20,11/2/20,2926,lv,NA,NA,U.S. President,Biden,44
136695,SurveyMonkey,2,Online Panel,Missouri,10/20/20,11/2/20,2926,lv,NA,NA,U.S. President,Trump,54
136644,SurveyMonkey,2,Online Panel,Minnesota,10/20/20,11/2/20,3031,rv,NA,NA,U.S. President,Biden,55
136644,SurveyMonkey,2,Online Panel,Minnesota,10/20/20,11/2/20,3031,rv,NA,NA,U.S. President,Trump,42
136696,SurveyMonkey,2,Online Panel,Minnesota,10/20/20,11/2/20,3031,lv,NA,NA,U.S. President,Biden,56
136696,SurveyMonkey,2,Online Panel,Minnesota,10/20/20,11/2/20,3031,lv,NA,NA,U.S. President,Trump,41
136645,SurveyMonkey,2,Online Panel,Michigan,10/20/20,11/2/20,4549,rv,NA,NA,U.S. President,Biden,52
136645,SurveyMonkey,2,Online Panel,Michigan,10/20/20,11/2/20,4549,rv,NA,NA,U.S. President,Trump,45
136697,SurveyMonkey,2,Online Panel,Michigan,10/20/20,11/2/20,4549,lv,NA,NA,U.S. President,Biden,52
136697,SurveyMonkey,2,Online Panel,Michigan,10/20/20,11/2/20,4549,lv,NA,NA,U.S. President,Trump,46
136646,SurveyMonkey,2,Online Panel,Maine,10/20/20,11/2/20,1274,rv,NA,NA,U.S. President,Biden,57
